Card,Guess,Reward,Correction,Reaction
DOG,cat,0,2,Dog!
DOG-ELE,elephant,1,3,Elephat AND a dog!
DOG,dog,2,1,He was right!
CAT-ELE,dog,0,2,A cat and an elephant.
ELE,cat and elephant,1,3,Only an elephant.
CAT-ELE,cat and elephant,2,1,you were right!
ELE,dog or elephant,2,2,elephant!
CAT-ELE,cat or elephant,2,3,A cat AND an elephant.
DOG,dog or elephant,2,2,A dog!
CAT-DOG,cat or dog,2,3,A cat AND a dog! Jazzy you are right!
CAT-DOG,dog,1,3,A dog AND a cat!
DOG-ELE,cat,0,1,No!
CAT,cat,2,1,Yes!
CAT,cat and elephant,1,3,Only a cat.
DOG-ELE,dog and elephant,2,1,You were right!
DOG,elephant,0,2,A dog!
