Card,Guess,Reward,Correction,Reaction
CAT-ELE,elephant,1,3,an elephant AND a cat!
ELE,cat,0,2,no there is a dog!
ELE,elephant,2,1,Right!
DOG-ELE,dog or elephant,1,1,A dog AND elephant. > A big star? A tiny star!
DOG,dog and elephant,0,3,A dog! Only a dog! > a circle!
CAT-DOG,cat and dog,2,1,You were right! > a tiny star? Or a big star!
DOG,cat or dog,0,0,NA
DOG-ELE,cat,0,2,Elephant and a puppy dog!
CAT-DOG,cat,0,2,a cat AND a dog! > a tiny star? Or a big one. [Jazzy repeats the guess. She picks a circle.]
CAT-ELE,dog,0,2,a cat AND an elephant.
CAT-ELE,cat or elephant,2,3,cat AND elephant. ƒ tiny star or big star?
DOG-ELE,dog and elephant,2,3,a dog AND an elephant
CAT,cat or elephant,0,2,a cat or a cat! Wrong! A circle!
DOG,elephant,0,2,A dog!
ELE,dog and elephant,0,2,elephant!
DOG,dog,0,2,Dog! Give him a circle!
