Card,Guess,Reward,Correction,Reaction
CAT-DOG,cat,1,0,NA
DOG,dog,2,0,NA
DOG,cat,0,2,No! There is a dog!
CAT,cat or elephant,2,2,A cat!
DOG-ELE,dog or elephant,2,0,NA
CAT-DOG,elephant,0,1,No!
DOG,cat and dog,1,3,No! Just a dog under there.
DOG-ELE,dog and elephant,2,2,Dog and elephant Yes!
CAT-DOG,cat or dog,2,0,[laughing]
DOG-ELE,cat,0,1,No!
CAT,cat and elephant,2,1,No!
DOG-ELE,elephant,1,3,elephant AND a dog.
ELE,elephant,2,2,elephant Yes!
ELE,cat,0,2,No! Another elephant.
CAT,cat or dog,1,2,A cat!
CAT-ELE,cat and elephant,2,0,NA
