"iteration","statistic","Utterance.Type","Intonation","Syntactic.Level","Consistency","Communicative.Function","Answers","Connective.Interpretation"
1,"kappa",0.766839378238342,0.105691056910569,0.587155963302752,0.464285714285715,0.4375,0.706840390879479,0.466666666666667
1,"pct_agree",90,63.3333333333333,80,93.3333333333333,70,90,86.6666666666667
2,"kappa",0.924939467312349,0,0.740585774058577,NA,0.590759075907591,0.926014319809069,0
2,"pct_agree",96.7741935483871,77.4193548387097,87.0967741935484,100,74.1935483870968,96.7741935483871,83.8709677419355
3,"kappa",0.649321266968326,0.30921052631579,0.657836644591612,NA,0.39413680781759,0.467048710601719,NA
3,"pct_agree",83.8709677419355,76.6666666666667,83.8709677419355,100,61.2903225806452,80.6451612903226,100
4,"kappa",0.694581280788177,0.307262569832402,0.793333333333333,NA,1,1,1
4,"pct_agree",87.0967741935484,87.0967741935484,93.5483870967742,100,100,100,100
5,"kappa",0.468571428571428,-0.0616438356164389,0.630952380952381,NA,0.686868686868687,1,NA
5,"pct_agree",90.3225806451613,83.8709677419355,87.0967741935484,100,90.3225806451613,100,100
6,"kappa",0.620408163265306,0.486187845303867,0.919060052219321,NA,0.523076923076923,0.65324384787472,NA
6,"pct_agree",80.6451612903226,80.6451612903226,96.7741935483871,100,80.6451612903226,83.8709677419355,100
7,"kappa",0.656319290465632,0.527918781725888,0.584821428571428,NA,0.618226600985222,0.369918699186992,NA
7,"pct_agree",83.8709677419355,90.3225806451613,80.6451612903226,100,83.8709677419355,83.8709677419355,100
8,"kappa",0.554414784394251,0.431192660550458,0.595300261096606,NA,0.434650455927052,0.403846153846154,NA
8,"pct_agree",77.4193548387097,80.6451612903226,83.8709677419355,100,80.6451612903226,80.6451612903226,100
9,"kappa",0.85972850678733,-0.033333333333333,0.831521739130435,NA,0.65266106442577,0.761538461538461,NA
9,"pct_agree",93.5483870967742,87.0967741935484,93.5483870967742,100,87.0967741935484,93.5483870967742,100
10,"kappa",0.540740740740741,0,0.621026894865526,NA,0.479865771812081,0.577272727272727,NA
10,"pct_agree",87.0967741935484,91.6666666666667,83.8709677419355,100,83.8709677419355,90.3225806451613,100
